@relation data_sosial_lulus
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1{SKS1_B,SKS1_C,SKS1_K,SKS1_SB}
@attribute SKS_S2{SKS2_B,SKS2_C,SKS2_K,SKS2_SB}
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","EKO","G2","SRJN","LL","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G4","SRJN","PNS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LC"
"P","EKO","G3","SD","BPN","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LC"
"P","EKO","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LC"
"P","EKO","G4","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LC"
"P","KOM","G1","SMTA","LL","PSN","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_2"
"P","KOM","G4","SMP","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_2"
"P","KOM","G5","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"L","KOM","G3","SMTA","LL","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_2"
"P","KOM","G4","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G1","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G3","SMTA","PDG","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_2"
"P","KOM","G4","SRJN","GRD","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_2"
"P","KOM","G1","SRJN","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_2"
"L","KOM","G3","SMTA","PS","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_2"
"P","KOM","G3","SRJN","LL","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_2"
"P","KOM","G3","SMTA","PDG","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G2","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G4","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_2"
"P","KOM","G4","SRJN","PS","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"L","KOM","G2","SRJN","GRD","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_2"
"P","KOM","G3","SMTA","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","KOM","G4","SRJN","LL","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"P","KOM","G3","SRJN","GRD","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","KOM","G2","SD","LL","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LLW_2"
"P","KOM","G4","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"P","KOM","G2","SMP","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"L","KOM","G3","SMP","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"L","KOM","G2","SD","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"L","KOM","G2","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"L","KOM","G3","SRJN","GRD","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","LLW_2"
"L","KOM","G2","LL","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LLW_2"
"L","KOM","G3","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","KOM","G3","SMTA","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","KOM","G3","SMTA","PNS","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","LLW_1"
"L","KOM","G1","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"P","KOM","G1","SMP","PDG","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","KOM","G2","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","KOM","G3","SD","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G2","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_2"
"P","KOM","G3","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","KOM","G4","SRJN","LL","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_M","LLW_2"
"L","KOM","G3","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_2"
"L","KOM","G1","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_2"
"P","KOM","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","KOM","G4","SMTA","PDG","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_2"
"L","KOM","G3","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_2"
"P","KOM","G2","SD","PDG","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G2","SRJN","LL","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_2"
"P","KOM","G1","SMTA","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","KOM","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G2","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"L","KOM","G3","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G3","SRJN","PNS","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","KOM","G3","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_KM","LLW_1"
"L","KOM","G2","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_2"
"P","KOM","G4","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","KOM","G4","SRJN","PDG","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_2"
"P","KOM","G2","SMTA","PDG","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","KOM","G3","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"L","KOM","G4","SRJN","GRD","LL","SKS1_SB","SKS2_SB","IPS1_M","IPS2_M","LLW_1"
"L","KOM","G1","SRJN","PDG","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","KOM","G2","SD","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G3","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G3","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G3","SMTA","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G3","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"L","KOM","G3","SRJN","GRD","LL","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"P","KOM","G5","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"P","KOM","G4","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G4","SRJN","PNS","LL","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","KOM","G4","SMTA","LL","PSN","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","LLW_2"
"P","KOM","G5","SMTA","PS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"L","KOM","G3","SMTA","LL","PSN","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","LLW_2"
"P","KOM","G3","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","KOM","G5","SRJN","PNS","PNS","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LLW_2"
"L","KOM","G3","SRJN","PS","PSN","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_2"
"P","KOM","G4","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","KOM","G3","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_M","LLW_2"
"P","KOM","G3","SRJN","LL","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LLW_2"
"L","KOM","G5","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G3","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_M","LLW_2"
"L","KOM","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_2"
"L","KOM","G4","SRJN","LL","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_2"
"P","KOM","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","KOM","G4","SRJN","PNS","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","KOM","G4","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"P","KOM","G7","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","KOM","G4","SMTA","PDG","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G3","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","KOM","G5","SRJN","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G3","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","KOM","G4","SRJN","PNS","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_2"
"P","KOM","G5","SRJN","GRD","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LLW_2"
"P","KOM","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","KOM","G2","SMTA","GRD","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"P","KOM","G3","SMTA","LL","PSN","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_2"
"L","KOM","G3","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"L","KOM","G5","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"L","KOM","G3","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_2"
"L","KOM","G4","SMTA","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","KOM","G2","SRJN","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_2"
"L","KOM","G4","SMTA","PDG","PNS","SKS1_SB","SKS2_C","IPS1_KM","IPS2_SM","LLW_2"
"P","KOM","G4","SMTA","PNS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","KOM","G6","SRJN","LL","LL","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LLW_1"
"P","KOM","G2","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G3","SMP","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"L","KOM","G2","SMTA","GRD","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G5","SRJN","PNS","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G3","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"L","KOM","G2","SD","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G3","SRJN","PNS","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","KOM","G3","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","KOM","G3","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","KOM","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","KOM","G2","SMTA","PS","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G4","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"L","KOM","G3","LL","PSN","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","KOM","G7","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"P","KOM","G2","LL","PDG","BPN","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","KOM","G4","SRJN","PDG","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G2","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LLW_1"
"L","KOM","G2","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G4","SRJN","LL","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_2"
"L","KOM","G5","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"L","KOM","G5","SRJN","GRD","LL","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_2"
"P","KOM","G6","SRJN","PDG","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"P","KOM","G4","SRJN","PNS","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","LLW_1"
"L","KOM","G5","SRJN","PDG","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","KOM","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_2"
"P","KOM","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","KOM","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"L","KOM","G3","SMP","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","LLW_1"
"P","KOM","G7","SRJN","PS","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","LLW_2"
"L","KOM","G5","SRJN","GRD","PDG","SKS1_SB","SKS2_C","IPS1_KM","IPS2_KM","LLW_2"
"L","KOM","G4","SMTA","PDG","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"P","KOM","G4","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","KOM","G1","SD","PDG","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","KOM","G4","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_2"
"P","KOM","G2","SMP","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G4","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"L","KOM","G3","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","KOM","G2","SRJN","PDG","BPN","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LLW_1"
"P","KOM","G3","SRJN","GRD","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","KOM","G7","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","KOM","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G3","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G3","SRJN","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LTW"
"P","KOM","G3","SRJN","PSN","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G4","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","KOM","G3","SRJN","PNS","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","KOM","G4","SMTA","PSN","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","KOM","G2","SMTA","PDG","BPN","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","LLW_2"
"P","KOM","G3","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","KOM","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","KOM","G3","SMTA","PS","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_CUM","LLW_2"
"P","KOM","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G3","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"L","KOM","G5","SMP","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","KOM","G4","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"L","KOM","G3","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G3","SMTA","GRD","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","KOM","G4","SMP","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_CUM","LLW_1"
"P","KOM","G6","SD","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G3","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","KOM","G3","SMTA","LL","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LTW"
"L","KOM","G4","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LLW_2"
"P","KOM","G3","SRJN","PSN","PSN","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_2"
"P","KOM","G3","SMTA","PNS","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","KOM","G3","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LLW_1"
"P","KOM","G6","SRJN","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G2","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_2"
"L","KOM","G3","SMTA","PS","PDG","SKS1_SB","SKS2_SB","IPS1_KM","IPS2_M","LLW_1"
"P","KOM","G4","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","KOM","G3","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","KOM","G4","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_2"
"L","KOM","G3","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_2"
"P","KOM","G2","SMTA","LL","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"P","KOM","G4","SD","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","KOM","G3","SRJN","PNS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G7","SRJN","PS","PNS","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_2"
"P","KOM","G2","SRJN","PNS","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","KOM","G3","SD","PDG","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G2","SD","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","KOM","G3","SRJN","PNS","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G3","SRJN","LL","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"P","KOM","G5","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","KOM","G3","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","KOM","G3","SRJN","PS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","KOM","G4","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","KOM","G5","SRJN","LL","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LTW"
"L","KOM","G3","SRJN","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G5","SMP","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","KOM","G7","SMTA","LL","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","LTW"
"P","KOM","G2","SMP","PDG","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G4","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","KOM","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","KOM","G4","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G4","SMTA","PS","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","KOM","G7","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_2"
"P","KOM","G4","SRJN","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","KOM","G2","SRJN","LL","BPN","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LLW_1"
"L","KOM","G3","SMTA","PNS","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_2"
"L","KOM","G4","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"L","KOM","G4","SMTA","LL","LL","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"L","KOM","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"L","KOM","G3","SD","PDG","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LC"
"L","KOM","G5","SRJN","PSN","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LLW_1"
"L","KOM","G5","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_M","IPS2_M","LLW_1"
"P","KOM","G3","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"P","KOM","G3","SMTA","PNS","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","KOM","G4","SMTA","PNS","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LC"
"P","KOM","G2","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LC"
"P","KOM","G4","SRJN","LL","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","KOM","G4","SRJN","GRD","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","KOM","G7","SMTA","PDG","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","KOM","G4","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"L","KOM","G7","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LLW_1"
"P","KOM","G4","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","KOM","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"L","KOM","G4","SMTA","PSN","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LC"
"P","KOM","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
